id,user,bio,slug,gender,image,date_of_birth,address,location,linkedin,twitter,personal_website,phone_code,phone_number,industry,position,experiences,interests,education_level,department,availability,awards,certifications,capabilities,opportunities,completion_status,last_login,created_at,updated_at
U011Q,756,Effect order film out will role two.,nacb/profile/stacy46,Male,https://picsum.photos/353/461,1979-10-27,"['4.87193190', '21.28450250']","Central African Republic, Basse-Kotto Prefecture",https://ruiz.com/,http://www.garrett.com/,https://leon-hill.com/,236,2448420204,Wholesale,Loss Prevention Specialist,['Science'],"['Cannabis Drug Interactions', 'Cannabis Social Responsibility', 'Cannabis Accessories', 'Cannabis Strains', 'Cannabis Mental Health', 'Cannabis Technology', 'Cannabis Legalization', 'Cannabis Distribution Networks', 'Cannabis Trends']",MS in Education,Employee Relations,False,"['Top Achievement in Machine Learning Techniques', 'Most Innovative Recommendation Engine', 'Best Data Governance Practices']",['Medical Specialist'],Serv370,"OPR011,OPR053",Completed,2024-06-05 00:34:42,2020-08-05 05:12:55,2024-11-05 11:42:48
U012P,3491,Those top you candidate record course best.,nacb/profile/hendersonstuart,Female,https://dummyimage.com/954x116,1947-09-24,"['17.32207110', '96.46632860']","Myanmar, Bago",http://www.anderson.org/,http://griffith.com/,https://page-michael.com/,95,2325522289,Artificial Rubber and Synthetic Fiber Manufacturing,Agronomist,"['Microbiology', 'Human Rights']","['Cannabis Retail Management', 'Cannabis Customer Experience', 'Cannabis Testing and Quality Control', 'Cannabis Investment', 'Cannabis Accessories', 'Cannabis Investment', 'Cannabis Mental Health', 'Recreational Cannabis']",BS in Journalism,Internal Audit,False,"['Best Use of Data in Business Operations', 'Outstanding Achievement in Analytics for Finance', 'Best Use of Data in Strategic Decision Making']","['Product Marketing Specialist', 'ISO 14001 (Environmental Management)', 'Labor Market Analyst']","Pro231,Pro005,Pro273,Serv334",OPR109,Completed,2024-03-07 16:20:12,2021-08-22 00:46:25,2022-02-17 05:04:58
U013K,2346,Base firm try at.,nacb/profile/khill,Female,https://picsum.photos/424/331,2003-08-24,"['25.93810180', '50.57568870']","Bahrain, Southern",http://hernandez.org/,http://carter.com/,https://wilson.info/,973,9372098018,Emergency and Relief Services,Loss Prevention Specialist,"['Digital Marketing', 'Biochemistry']","['Cannabis Trends', 'Cannabis Startups', 'Cannabis Drug Interactions']",BS in Communications,Financial Operations,False,[],[],"Pro239,Serv014,Serv088,Serv064,Serv208",OPR031,Completed,2024-02-06 17:51:13,2024-06-04 03:11:05,2024-09-05 12:59:44
U014T,675,Discussion agreement statement represent degree even determine.,nacb/profile/psmith,Male,https://picsum.photos/941/166,1983-08-31,"['24.14773580', '120.67364820']","Taiwan, Taichung",http://www.aguirre.org/,http://thomas-ware.info/,http://white.org/,886,7112497331,Broadcasting,Environmental Engineer,"['Microbiology', 'Automotive', 'Library Science']","['Cannabis Packaging', 'Cannabis Packaging']",Associate Degree in Nursing,Financial Management,True,"['Excellence in Data Science Solutions', 'Excellence in Customer Data Management', 'Best Data Analytics for Financial Services']",[],Serv218,"OPR051,OPR112,OPR117",Completed,2024-04-02 21:00:34,2023-05-21 21:12:29,2024-12-01 07:15:00
U015C,431,Success trip interesting explain something night responsibility.,nacb/profile/marielloyd,Female,https://dummyimage.com/348x195,1955-10-29,"['0.56952520', '34.55837660']","Kenya, Bungoma",http://www.bradley.net/,https://lane.com/,https://schmidt.biz/,254,7688350860,Civic and Social Organization,Security Manager,['Hospitality'],"['Cannabis Regulations', 'Cannabis Professional Training', 'Cannabis Social Responsibility']",BS in International Relations,Customer Service,True,[],['SPHR (Senior Professional in Human Resources)'],Serv202,"OPR107,OPR119,OPR012,OPR013",Completed,2024-04-12 12:29:46,2020-07-23 14:30:57,2021-06-03 05:30:56
U016H,1053,Could purpose push share ask whether success.,nacb/profile/edwardsimpson,Female,https://placekitten.com/462/885,2004-08-05,"['29.30567160', '48.03076130']","Kuwait, Hawalli",https://www.smith.biz/,https://www.gordon.com/,http://ray-morales.org/,965,1192466369,Professional Training,Chief Operating Officer (COO),['Forestry'],"['Cannabis for Chronic Conditions', 'Cannabis Industry Certifications', 'Cannabis Customer Experience', 'Cannabis Cultivation Techniques', 'Cannabis Regulations', 'Cannabis Retail Management', 'Cannabis Branding']",PhD in Theatre,Legal Compliance,False,"['Top Achievement in Data Science Implementation', 'Behavioral Data Capture Innovation']",['Facility Manager'],"Pro151,Serv020,Pro047","OPR085,OPR119,OPR089,OPR017",Not Started,2024-06-06 11:00:54,2021-05-20 14:31:02,2022-05-11 20:09:11
U017V,190,Address heavy low car be now wide.,nacb/profile/jaredmartin,Male,https://placekitten.com/553/1024,1982-08-31,"['-29.03333333', '167.95000000']",Norfolk Island,https://strong.com/,https://torres.info/,https://www.hill.com/,672,6472212664,Package/Freight Delivery,Client Relationship Manager,['Leadership'],"['Cannabis Trends', 'Cannabis Emerging Markets', 'Cannabis Consumption Methods', 'Cannabis Consumption Methods', 'Cannabis Testing and Quality Control', 'Cannabis Supply Chain Management', 'Cannabis Franchise Opportunities', 'Cannabis Industry Certifications', 'Cannabis Dispensary Operations']",BS in Public Health,Customer Service,False,[],"['Compliance Consultant', 'Project Manager', 'Quality Assurance Technician']","Pro075,Serv066,Pro313,Pro297,Pro247","OPR069,OPR054,OPR014,OPR009,OPR020",In Progress,2024-05-19 14:08:31,2024-08-03 23:47:33,2024-10-02 05:28:36
U018Y,2374,Surface painting stop baby structure.,nacb/profile/kelly74,Female,https://placekitten.com/212/658,1963-05-13,"['36.56053880', '138.87999720']","Japan, Gunma Prefecture",https://www.snyder.info/,https://www.gonzalez.info/,http://hall-johnson.com/,81,2779138532,Building Equipment Contractors,Legal Compliance Analyst,"['Zoology', 'Photography', 'Human Development']","['Cannabis Consumption Methods', 'Cannabis International Markets', 'Cannabis Policy', 'Cannabis Technology']",BS in Art,Executive Management,True,['Best Use of AI in Data Privacy'],[],"Serv044,Serv334","OPR050,OPR063,OPR022,OPR025",Completed,2024-02-10 00:21:57,2023-09-01 16:07:42,2023-10-11 05:59:30
U019V,3596,Drive we international history bad will day.,nacb/profile/kellymolina,Male,https://placekitten.com/858/177,1949-03-05,"['22.51501050', '91.75388170']","Bangladesh, Chittagong District",http://holloway.info/,http://www.stewart.net/,http://curtis.com/,880,1702172418,Retail Luxury Goods and Jewelry,Lobbyist,['Engineering'],"['Cannabis Product Development', 'Cannabis Community Outreach', 'Cannabis Innovations']",PhD in Linguistics,Legal Services,True,"['Behavioral Data Capture Innovation', 'Prescriptive Analytics Achievement', 'Best Data Quality Improvement']","['Product Developer', 'Nutrient Specialist']",Serv120,"OPR097,OPR069,OPR111",In Progress,2024-01-30 20:54:10,2020-01-04 21:40:52,2023-12-08 02:49:49
U020K,2695,Work both newspaper room medical.,nacb/profile/tray,Male,https://placekitten.com/79/835,1961-08-19,"['53.46578910', '15.18225810']","Poland, West Pomerania",https://www.reynolds.biz/,https://www.ayala.info/,http://harris.com/,48,9116256525,Recreational Vehicles,IT Support Specialist,['Networking'],"['Cannabis Customer Experience', 'Cannabis Education Programs', 'Cannabis Taxation', 'Cannabis Cultivation Techniques', 'Cannabis Strains', 'Recreational Cannabis', 'Cannabis Cultivation']",PhD in Culinary Arts,Corporate Responsibility,True,"['Exceptional Data Processing Efficiency', 'Best Data Governance Practices']","['Public Health Specialist', 'Edibles Chef', 'Genetics Specialist']",Serv338,"OPR004,OPR110,OPR045,OPR079,OPR060",In Progress,2024-07-11 12:37:05,2024-06-20 12:27:33,2024-10-02 18:09:29
U021Y,592,Next benefit language represent TV speak for.,nacb/profile/mark99,Male,https://picsum.photos/414/600,1975-05-22,"['25.57845590', '51.48213870']","Qatar, Al Daayen",https://www.spencer.com/,https://williams.com/,https://www.johnson-stevens.com/,974,1723519846,Residential Mental Health,Finance Manager,"['Business Development', 'Nursing']","['Cannabis Security and Safety', 'Cannabis Trends', 'Cannabis Distribution Networks']",Associate Degree in Psychology,Organizational Strategy,False,"['Revealed Preferences Understanding Excellence', 'Outstanding Data Integration Achievement', 'Outstanding Achievement in Analytics Tools Development']",[],"Serv304,Serv136,Pro251,Serv248","OPR032,OPR026",Completed,2024-03-30 04:04:22,2020-11-06 02:36:03,2021-03-14 05:14:06
U022C,928,They five account I magazine.,nacb/profile/rogerrodriguez,Male,https://picsum.photos/541/1007,1962-06-11,"['16.75000000', '-62.20000000']",Montserrat,http://merritt.com/,https://powers.biz/,http://holloway-thomas.com/,1-664,9418639286,"Electric Power Transmission, Control and Distribution",Waste Management Coordinator,"['Telecommunications', 'Sound Engineering', 'Chemistry']","['Cannabis Industry Events', 'Cannabis Eco-Friendly Practices', 'Cannabis Consumption Methods', 'Cannabis Pain Management', 'Cannabis Accessories', 'Cannabis Accessories', 'Cannabis Retail', 'Cannabis Branding']",MS in Political Science,Investor Services,False,"['Best Data Science Strategy Implementation', 'Outstanding Achievement in Data Analytics']",['Cisco CCNA (Cisco Certified Network Associate)'],"Pro013,Serv190,Serv236,Serv192",OPR088,In Progress,2024-01-01 04:10:55,2024-02-19 15:10:39,2024-06-27 05:00:47
U023W,3093,Way rate small finally somebody especially.,nacb/profile/qsellers,Female,https://dummyimage.com/6x564,1969-02-12,"['59.87067110', '40.65554110']","Russia, Vologda Oblast",http://www.hernandez.com/,http://www.edwards.com/,http://www.lopez.com/,7,1323011049,Racetracks,Environmental Compliance Specialist,['Statistics'],"['Cannabis Intellectual Property', 'Cannabis Processing', 'Cannabis Distribution Networks', 'Cannabis Pain Management']",MS in Communications,Financial Planning and Analysis,True,[],['Safety Officer'],"Serv222,Serv278,Serv242,Pro253,Pro113","OPR043,OPR099,OPR061",Completed,2024-05-21 02:43:21,2021-02-24 01:44:48,2021-12-16 05:47:37
U024A,916,Opportunity finally attack list just relationship.,nacb/profile/harperzoe,Female,https://picsum.photos/203/880,1948-06-11,"['12.11666700', '-68.93333300']",Curaçao,http://rogers-johnson.com/,https://chambers.com/,http://www.wells-lyons.com/,599,1551358800,Shipping,Production Manager,['Film Production'],"['Cannabis Trends', 'Cannabis Edibles', 'Cannabis Drug Interactions', 'Cannabis Diversity and Inclusion']",PhD in Psychology,Organizational Effectiveness,True,"['Excellence in Analytics Engine Development', 'Exceptional Field Definition Recognition']","['Labor Market Analyst', 'Certified Logistics Associate (CLA)']","Pro333,Pro311,Pro163,Pro123","OPR120,OPR081,OPR049",In Progress,2024-07-24 03:30:57,2024-04-28 18:59:43,2024-10-22 06:13:26
U025E,201,Nice to green candidate person cover camera.,nacb/profile/kathleen15,Male,https://picsum.photos/869/433,1962-09-28,"['41.55038800', '-8.42613010']","Portugal, Braga",https://gallagher-powell.com/,http://www.diaz-blair.com/,https://velez-nelson.com/,351,1799983579,Fruit and Vegetable Preserves Manufacturing,HR Business Partner,"['Philosophy', 'Social Work', 'Virology']","['Cannabis Social Responsibility', 'Cannabis Distribution Networks', 'Cannabis Intellectual Property']",Associate Degree in Nursing,Business Analysis,True,"['Outstanding Social Network Analysis', 'Most Innovative Recommendation Engine']","['SHRM-CP (SHRM Certified Professional)', 'Change Management Specialist', 'Oracle Certified Professional (OCP)']","Pro105,Serv262",OPR063,Completed,2024-02-26 15:27:06,2024-02-18 16:33:51,2024-07-06 14:01:33
U026U,2012,House defense impact reality cultural table rate.,nacb/profile/nbailey,Male,https://picsum.photos/211/769,1992-04-14,"['-29.03333333', '167.95000000']",Norfolk Island,https://www.peck.com/,https://mcmillan.com/,https://www.washington-bryan.com/,672,5452633656,Magnetic and Optical Media Manufacturing,Policy Analyst,['Journalism'],"['Cannabis Retail', 'Cannabis International Markets', 'Cannabis Trends', 'Cannabis Cultivation Techniques', 'Cannabis Technology']",MS in Journalism,Product Delivery,True,"['Behavioral Data Analysis Excellence Recognition', 'Top Achievement in Big Data Analytics Solutions', 'Excellence in Analytics Engine Development']","['ISO 9001 (Quality Management)', 'Public Relations Specialist', 'ITIL (Information Technology Infrastructure Library)']","Serv102,Serv338,Pro027,Pro067","OPR023,OPR006,OPR045,OPR030,OPR001",Completed,2024-01-13 18:32:42,2023-05-04 07:00:20,2023-06-06 09:50:25
U027G,1101,Similar represent believe lose through follow why.,nacb/profile/edward22,Female,https://picsum.photos/622/752,1944-07-09,"['20.91701870', '101.16173560']","Laos, Luang Namtha Province",https://www.mendez-kaiser.com/,http://shaw-mcgee.net/,https://ortiz-pittman.com/,856,4061428834,Flight Training,Executive Assistant,"['Innovation', 'Sustainability']","['Cannabis Legalization', 'Cannabis Legalization', 'Medical Cannabis', 'Cannabis Education Programs', 'Cannabis Customer Experience', 'Cannabis Industry Trends', 'Cannabis Accessories', 'Cannabis Strains', 'Cannabis Clinical Trials', 'Cannabis Conferences']",Associate Degree in English Literature,Legal Affairs,False,"['Best Use of Analytics in Business Strategy', 'Outstanding Achievement in Big Data Management', 'Outstanding Achievement in Big Data Solutions']",[],Serv040,"OPR001,OPR043,OPR024",Completed,2024-01-10 09:57:13,2020-09-01 11:11:49,2024-09-21 01:16:38
U028W,757,Feel population human often begin always.,nacb/profile/rodney37,Female,https://dummyimage.com/89x616,1947-06-05,"['54.59713440', '-1.07759970']","United Kingdom, Redcar and Cleveland",http://scott.com/,http://www.carter.com/,http://jones.org/,44,5112171410,Specialty Industrial Machinery,Quality Control Inspector,"['Marine Biology', 'Global Health', 'Virology']","['Cannabis Regulatory Compliance', 'Cannabis Cultivation', 'Cannabis Packaging', 'Cannabis International Markets', 'Cannabis Industry Certifications', 'Cannabis Startups', 'Recreational Cannabis', 'Cannabis Vaping']",BS in Sociology,Organizational Development,False,"['Data Visualization Excellence', 'Outstanding Data Integration Achievement']","['CISM (Certified Information Security Manager)', 'Public Health Specialist', 'Financial Planner']","Pro229,Pro135,Pro163,Pro353","OPR035,OPR116,OPR097,OPR085,OPR068",Completed,2024-02-15 08:49:10,2023-08-21 15:18:34,2024-10-28 21:40:57
U029D,3533,Cause receive draw today other human tend.,nacb/profile/frodriguez,Male,https://placekitten.com/528/590,1978-03-14,"['9.44605870', '45.29938620']","Somalia, Togdheer Region",https://www.yates-thomas.org/,http://www.evans.com/,http://medina.com/,252,5491106364,Wedding Planning,Network Administrator,"['Bioinformatics', 'Sustainability', 'Sales']","['Cannabis Workshops', 'Cannabis Startups', 'Cannabis International Markets', 'Cannabis Extraction Methods', 'Cannabis Intellectual Property']",BS in Finance,Systems Administration,False,"['Data Visualization Innovation Recognition', 'Demand Level Understanding', 'Best Data Privacy Solutions Implementation']",['LEED (Leadership in Energy and Environmental Design)'],"Serv170,Serv230,Pro351,Serv110","OPR005,OPR007,OPR107",In Progress,2024-05-12 05:04:08,2021-06-04 01:15:55,2022-01-13 21:51:56
U030E,1040,Author wait say mind get science quickly.,nacb/profile/josephandrade,Female,https://dummyimage.com/251x757,1955-03-18,"['-5.04719790', '20.71224650']","Democratic Republic of the Congo, Kasaï",https://pace.biz/,http://www.david-dennis.com/,http://www.nguyen.com/,243,5989783563,Seafood Product Preparation and Packaging,IT Director,"['Venture Capital', 'Management']","['Cannabis Policy', 'Cannabis Research and Development', 'Cannabis Marketing']",BS in Management,Legal Services,True,['Outstanding Data-Driven Customer Insights'],"['Sustainability Specialist', 'Facility Manager', 'Patient Care Advocate']","Pro017,Pro325,Pro343,Pro153,Pro177","OPR104,OPR108",Completed,2024-06-27 18:47:23,2021-01-18 03:02:56,2022-01-06 18:02:00
U031C,11,Television research over difficult politics spend soldier.,nacb/profile/megan95,Male,https://placekitten.com/193/808,1971-11-30,"['10.13374020', '-61.44354740']","Trinidad and Tobago, Penal-Debe Regional Corporation",https://snow.org/,http://fernandez.com/,http://www.reyes-clark.biz/,1-868,2486081953,Nursing Homes and Residential Care Facilities,Fleet Manager,['Graphic Design'],"['Medical Cannabis', 'Cannabis Concentrates', 'Cannabis Sales Strategies']",BS in Graphic Design,Social Media,True,['Excellence in Machine Learning Solutions'],"['Crop Scientist', 'Nutrient Specialist', 'Scrum Master Certification']","Pro271,Pro305","OPR102,OPR089,OPR018,OPR100,OPR071",In Progress,2024-06-18 04:30:57,2021-09-01 11:13:33,2024-04-05 18:44:10
U032A,2349,Development total including financial.,nacb/profile/gregory97,Female,https://picsum.photos/724/503,1962-12-25,"['54.29442520', '18.15311640']","Poland, Pomerania",https://www.davidson-parks.com/,http://clayton.info/,http://cummings.com/,48,4021642155,Medical Care Facilities,Vice President (VP),"['Cybersecurity', 'Cybersecurity', 'Business Development']","['Cannabis Vaping', 'Cannabis Investment', 'Cannabis Conferences', 'Cannabis Strains', 'Cannabis Social Responsibility']",PhD in Business Administration,Business Operations Management,True,['Correlation Identification Recognition'],['Marketing Professional'],"Serv316,Serv178","OPR013,OPR031,OPR067,OPR047",In Progress,2024-01-03 03:44:51,2021-08-15 01:48:29,2024-09-06 22:58:18
U033D,2347,Only us station watch base teacher north.,nacb/profile/thomasjulie,Male,https://placekitten.com/633/959,1999-06-09,"['25.48752420', '51.39656800']","Qatar, Umm Salal Municipality",http://www.davies.biz/,https://www.stewart.biz/,http://hill.net/,974,1650557814,Synthetic Dye and Pigment Manufacturing,Geneticist,"['Game Design', 'Chemistry']","['Cannabis Intellectual Property', 'Cannabis Policy', 'Cannabis International Markets', 'Cannabis Accessories', 'Cannabis Pain Management', 'Cannabis Drug Interactions', 'Cannabis Branding', 'Cannabis Professional Training', 'Cannabis Trends']",MS in Graphic Design,Information Security,True,[],"['Marketing Professional', 'Business Manager']",Serv310,"OPR053,OPR100,OPR034,OPR048",In Progress,2024-06-18 20:30:34,2024-06-22 06:40:03,2024-08-07 08:32:48
U034B,3149,Rock design measure partner that.,nacb/profile/khanbrittney,Female,https://dummyimage.com/11x177,1985-04-11,"['46.87785800', '8.25124900']","Switzerland, Obwalden",https://williamson.info/,http://www.hart.com/,http://smith-dominguez.com/,41,4295086252,Furniture and Home Furnishings Manufacturing,Market Research Analyst,"['Genetics', 'Physics', 'Data Science']","['Cannabis for Chronic Conditions', 'Cannabis Clinical Trials', 'Medical Cannabis', 'Cannabis Conferences', 'Cannabis Social Responsibility', 'Cannabis Conferences', 'Cannabis Consumption Methods']",PhD in Computer Science,Web Development,True,['Best Data Engineering Practices'],"['Soil Scientist', 'Accounting Professional', 'Business Consultant']","Serv178,Serv260,Pro039,Pro129","OPR043,OPR114,OPR067",Completed,2024-04-22 22:26:35,2024-08-06 05:14:37,2024-12-01 02:29:09
U035V,3887,Have now sea word.,nacb/profile/heatherdavidson,Male,https://dummyimage.com/7x817,1984-06-12,"['23.96081810', '91.11150140']","Bangladesh, Brahmanbaria District",http://www.ross.com/,http://www.parker.com/,http://krueger.net/,880,6425343102,Security Systems Services,Auditor,"['Philosophy', 'Theater Arts']","['Cannabis Product Development', 'Cannabis Packaging', 'Cannabis Advocacy', 'Cannabis for Chronic Conditions', 'Cannabis Consumption Methods']",PhD in Theatre,Audit,True,['Best Achievement in Data Engineering Solutions'],"['Lighting Technician', 'CPA (Certified Public Accountant)', 'Budtender']",Pro203,"OPR020,OPR047",In Progress,2024-01-14 12:45:43,2024-05-03 18:51:07,2024-11-11 00:03:10
U036M,3151,Draw baby blood from cell factor exactly.,nacb/profile/reyessusan,Female,https://placekitten.com/188/301,1995-11-29,"['14.19308020', '-89.92532330']","Guatemala, Jutiapa Department",https://www.cole.com/,http://becker.com/,http://jensen-brown.biz/,502,6240992701,Commercial Real Estate,Talent Acquisition Manager,"['Zoology', 'Music Production']","['Cannabis Community Outreach', 'Cannabis Research', 'Cannabis Branding', 'Cannabis Customer Experience', 'Cannabis Concentrates', 'Cannabis Cultivation', 'Cannabis Business Development', 'Cannabis Strains', 'Cannabis Accessories']",BS in Botany,Corporate Training,False,"['Best Data Science Implementation Strategy', 'Outstanding User Profiling Achievement', 'Best Asset Performance Analytics Recognition']",['Trainer'],"Pro093,Serv064,Serv318,Serv312","OPR116,OPR088,OPR097,OPR114,OPR052",Completed,2024-03-21 05:58:53,2023-11-08 18:00:48,2024-11-07 05:20:59
